Campaign,Ad group,Keyword,Match type
Search - CCTV Astana,Установка видеонаблюдения,видеонаблюдение астана,Exact
Search - CCTV Astana,Установка видеонаблюдения,установка видеонаблюдения астана,Exact
Search - CCTV Astana,Установка видеонаблюдения,монтаж видеонаблюдения астана,Exact
Search - CCTV Astana,Установка видеонаблюдения,видеонаблюдение под ключ астана,Exact
Search - CCTV Astana,Установка видеонаблюдения,видеонаблюдение в астане,Phrase
Search - CCTV Astana,Установка видеонаблюдения,установка камер видеонаблюдения,Phrase
Search - CCTV Astana,Установка видеонаблюдения,монтаж камер видеонаблюдения,Phrase
Search - CCTV Astana,Камеры под ключ,установка камер астана,Exact
Search - CCTV Astana,Камеры под ключ,камеры видеонаблюдения астана,Exact
Search - CCTV Astana,Камеры под ключ,камеры видеонаблюдения под ключ,Phrase
Search - CCTV Astana,Камеры под ключ,комплект видеонаблюдения с установкой,Broad
Search - CCTV Astana,Дом и квартира,система видеонаблюдения для дома,Phrase
Search - CCTV Astana,Дом и квартира,видеонаблюдение для квартиры,Phrase
Search - CCTV Astana,Дом и квартира,камеры для частного дома астана,Broad
Search - CCTV Astana,Бизнес,видеонаблюдение для бизнеса,Phrase
Search - CCTV Astana,Бизнес,видеонаблюдение для магазина,Phrase
Search - CCTV Astana,Бизнес,видеонаблюдение для склада,Phrase
Search - CCTV Astana,IP и PoE,ip камеры астана,Exact
Search - CCTV Astana,IP и PoE,установка ip камер,Phrase
Search - CCTV Astana,IP и PoE,poe видеонаблюдение,Phrase
Search - CCTV Astana,IP и PoE,ip видеонаблюдение монтаж,Broad
Search - CCTV Astana,HiWatch Hikvision,hikvision астана,Exact
Search - CCTV Astana,HiWatch Hikvision,hiwatch астана,Exact
Search - CCTV Astana,HiWatch Hikvision,камеры hiwatch астана,Phrase
Search - CCTV Astana,HiWatch Hikvision,камеры hikvision астана,Phrase
